Journal,ISSN,Category,Source,Quality_Level,ABDC_Rank,CiteScore,SJR,Publisher,Note
Business & Society,0007-6503,Business & Society,ABDC 2025,A,A,,,,Clear social science overlap
Development and Change,0012-155X,Development Studies,ABDC 2025,A,A,,,,Core development studies
"Gender, Work & Organization",0968-6673,Gender Studies / Organisation,ABDC 2025,A,A,,,,Key gender & work journal
Human Relations,0018-7267,Organisation Studies / Sociology,ABDC 2025,A,A,,,,Interdisciplinary social science
Journal of Business Ethics,0167-4544,Business Ethics / Social Issues,ABDC 2025,A,A,,,,Strong social & ethical focus
Journal of Development Studies,0022-0388,Development Studies,ABDC 2025,A,A,,,,Core development studies
Organization Studies,0170-8406,Organisation Studies / Sociology,ABDC 2025,A,A,,,,Strong critical & sociological orientation
Academy of Management Journal,0001-4273,Management / Organisation,ABDC 2025,A*,A*,,,,Elite management
Academy of Management Review,0363-7425,Management / Organisation,ABDC 2025,A*,A*,,,,Theory-focused
Journal of Management Studies,0022-2380,Management / Organisation,ABDC 2025,A*,A*,,,,Strong organisation & society focus
Organization Science,1047-7039,Organisation Studies,ABDC 2025,A*,A*,,,,Strong organisation theory
ACM Transactions on Computing Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.9,1.024,Association for Computing Machinery,Education
APTISI Transactions on Technopreneurship,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.2,0.264,Pandawan Sejahtera,Education
Academy of Management Learning and Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.4,2.715,George Washington University,Education
Accounting Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.5,0.879,Taylor & Francis,Education
"Accounting, Organizations and Society",,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.1,3.098,Elsevier,Sociology and Political Science
Active Learning in Higher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,13.9,2.08,SAGE,Education
Administration and Society,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.1,1.073,SAGE,Sociology and Political Science
Administrative Science Quarterly,,Public Administration,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),A*,13.4,9.595,SAGE,Public Administration
Agriculture and Human Values,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.3,1.216,Springer Nature,Sociology and Political Science
Ambio,,"Geography, Planning and Development",Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,13.6,1.904,Springer Nature,"Geography, Planning and Development"
American Educational Research Journal,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.2,2.151,SAGE,Education
American Ethnologist,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,4.2,1.151,John Wiley & Sons,Anthropology
American Journal of Political Science,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.4,6.539,John Wiley & Sons,Political Science and International Relations
American Journal of Sociology,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.7,2.193,University of Chicago Press,Sociology and Political Science
American Political Science Review,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.0,5.433,Cambridge University Press,Political Science and International Relations
American Sociological Review,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),A*,9.0,3.277,American Sociological Association,Sociology and Political Science
Annals of Public and Cooperative Economics,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.5,0.845,John Wiley & Sons,Sociology and Political Science
Annals of Tourism Research,,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.9,2.435,Elsevier,Development
Annals of Tourism Research Empirical Insights,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.4,0.852,Elsevier,Sociology and Political Science
Annals of the American Academy of Political and Social Science,,General Social Sciences,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.9,0.993,SAGE,General Social Sciences
Annals of the International Communication Association,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,10.1,1.706,Oxford University Press,Communication
Anthrozoos,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,4.3,0.512,Taylor & Francis,Anthropology
Applied Economic Perspectives and Policy,,Development,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.5,1.289,John Wiley & Sons,Development
Asia Pacific Journal of Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.0,1.092,Taylor & Francis,Education
Asia-Pacific Education Researcher,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.5,1.516,Springer Nature,Education
Asia-Pacific Journal of Business Administration,,Public Administration,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.1,1.086,Emerald Publishing,Public Administration
Asian Association of Open Universities Journal,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.0,0.79,Emerald Publishing,Social Sciences (miscellaneous)
